Ch1 Amplitude,Ch2 Amplitude,Cluster
1042.92334,7230.598,1
1093.51025,7063.32764,1
1097.6864,7160.57568,1
1103.99829,6863.461,1
1118.54675,7416.2627,1
1119.2345,7183.981,1
1122.25256,7249.94043,1
1122.624,7217.74756,1
1124.99622,7616.429,1
1125.63953,7318.89844,1
1129.9314,7014.82568,1
1130.44543,7171.792,1
1131.66638,7472.943,1
1135.57507,7171.23242,1
1137.8584,6894.79443,1
1140.40076,7063.081,1
1140.59131,7209.21826,1
1143.16858,7070.98,1
1145.17725,7153.87549,1
1149.48474,7231.98,1
1149.65344,6776.47949,1
1149.65491,6905.54053,1
1149.98755,7118.48633,1
1151.97363,7177.655,1
1152.55737,7107.732,1
1155.858,7182.738,1
1156.00464,7075.12256,1
1156.43835,7198.96826,1
1157.11841,7434.925,1
1158.938,7380.51758,1
1160.68176,7092.458,1
1160.86292,7285.53271,1
1161.1958,6977.199,1
1161.3988,7252.679,1
1161.64526,7045.72852,1
1161.68372,7295.027,1
1162.29285,7006.16455,1
1162.39526,7111.16846,1
1162.83044,6976.887,1
1163.73218,7239.505,1
1164.0354,6916.01465,1
1164.9115,7121.397,1
1165.02856,7037.45166,1
1165.82288,7353.39844,1
1166.52869,7188.116,1
1166.596,7003.931,1
1166.64465,6957.688,1
1167.25146,6992.889,1
1167.50745,6948.80371,1
1168.04175,7060.81738,1
1169.37268,6786.22168,1
1169.49121,7131.18262,1
1170.1825,6798.346,1
1170.32654,7125.991,1
1171.60254,7150.82373,1
1171.74377,7100.394,1
1171.84265,7342.314,1
1172.68542,6970.461,1
1173.00623,7092.7207,1
1173.11926,6848.807,1
1173.395,6975.16064,1
1173.74988,6995.459,1
1173.94238,7001.207,1
1174.14185,7067.886,1
1174.21411,7236.163,1
1174.57214,7070.96533,1
1174.67139,6942.591,1
1174.83362,7732.108,1
1175.008,7079.87451,1
1175.192,7083.99561,1
1175.19519,7164.98242,1
1175.81091,7110.828,1
1176.03113,7005.003,1
1176.61414,6852.182,1
1176.99768,6911.264,1
1177.75928,7324.88232,1
1178.11877,7017.269,1
1178.44385,7093.483,1
1178.44617,6910.06641,1
1178.69934,7215.74268,1
1178.93713,7377.42529,1
1179.12146,6953.863,1
1179.388,6886.987,1
1179.87207,7027.968,1
1179.90149,7410.866,1
1179.95557,7228.11,1
1180.11975,6920.572,1
1180.13208,6893.79,1
1180.31665,7191.843,1
1180.448,7108.4585,1
1181.10657,6891.814,1
1181.35242,7268.515,1
1181.73572,7260.952,1
1182.31726,7010.136,1
1182.44714,7204.487,1
1182.67517,7052.75342,1
1182.73438,7072.223,1
1182.74524,7219.64941,1
1183.35876,7057.15234,1
1183.74683,7006.7915,1
1184.22,7699.70557,1
1184.422,7137.10352,1
1184.54907,7181.642,1
1184.65308,7251.19141,1
1184.6925,7202.82568,1
1184.707,7054.73828,1
1184.80872,6994.384,1
1184.96777,7081.531,1
1185.02051,7086.84766,1
1185.37537,7479.56934,1
1185.43408,7284.25,1
1185.65,6897.194,1
1185.87659,7256.53857,1
1185.911,7099.71143,1
1186.07141,7038.587,1
1186.13635,7159.901,1
1186.51416,6918.82373,1
1186.90637,6995.46436,1
1187.39893,7001.87939,1
1187.4126,7161.07031,1
1187.518,7295.35742,1
1187.6969,6884.22461,1
1187.915,7007.32227,1
1188.20032,6872.01953,1
1188.29749,7018.51025,1
1188.85962,7594.10547,1
1189.28662,7167.41064,1
1189.35083,7639.06543,1
1189.54871,7203.33447,1
1189.61047,7406.462,1
1189.98987,6893.74,1
1190.01843,7023.94141,1
1190.26819,7130.58838,1
1190.41724,7079.37,1
1190.52515,7398.172,1
1190.53833,7006.17041,1
1190.67468,6919.13135,1
1190.79114,6887.42236,1
1192.07935,7185.15234,1
1192.16467,7011.917,1
1192.19788,7252.69336,1
1192.29761,7065.235,1
1192.90466,7106.23535,1
1193.24268,7127.752,1
1193.561,7098.932,1
1194.044,7190.85,1
1194.10242,7235.681,1
1194.17712,7149.57568,1
1194.311,7191.074,1
1194.46448,6950.37549,1
1194.49121,7117.313,1
1195.16968,7338.214,1
1195.55615,6969.599,1
1195.695,7231.32031,1
1195.98474,6920.40625,1
1196.02686,7081.666,1
1196.04272,7056.705,1
1196.05481,7161.578,1
1196.14233,7215.33154,1
1196.192,7119.13574,1
1196.366,6938.29639,1
1196.45081,7357.048,1
1196.54028,7061.384,1
1196.77478,7059.67334,1
