Ch1 Amplitude,Ch2 Amplitude,Cluster
979.562744,9524.35,4
995.2635,7998.56641,1
1002.28748,7686.3584,1
1007.25177,7798.87451,1
1014.35077,9510.103,4
1015.70319,9859.158,4
1022.67944,9636.846,4
1027.87476,8028.93164,1
1028.85779,7854.959,1
1030.504,9418.078,4
1037.65759,9710.306,4
1041.0343,8149.22656,1
1041.40857,10346.5049,4
1041.88049,7871.70947,1
1042.15771,9084.551,4
1043.46558,7748.92725,1
1043.68481,7949.15039,1
1046.84338,9775.581,4
1047.48462,7865.96729,1
1048.26184,9607.565,4
1048.91589,7902.707,1
1049.58508,7776.34668,1
1051.96179,7511.572,1
1052.33032,7787.71875,1
1053.24927,7681.145,1
1057.40125,8095.98926,1
1057.49463,7718.438,1
1057.59436,7863.08057,1
1058.49573,7549.962,1
1061.03625,7766.19238,1
1062.49207,8675.169,1
1063.96777,7845.366,1
1065.08911,9572.77051,4
1065.85181,7710.17725,1
1067.90051,9673.383,4
1068.77429,7768.681,1
1069.09009,9735.952,4
1069.34656,7782.225,1
1069.53784,7706.81,1
1069.67542,9094.804,4
1069.7406,12061.0967,4
1070.08911,8044.159,1
1070.67957,9176.525,4
1070.78906,7740.15137,1
1071.04443,9808.853,4
1071.94214,9162.899,4
1073.46936,8124.568,1
1073.54041,8327.819,1
1073.75317,7675.08643,1
1074.33655,7796.34,1
1075.35608,9186.6875,4
1075.418,8060.405,1
1075.58337,7934.494,1
1075.58362,9920.76,4
1076.33752,7992.70947,1
1076.65039,8232.546,1
1076.91174,7792.428,1
1077.6626,7986.73633,1
1077.69763,8173.406,1
1077.69934,7846.832,1
1078.26941,7956.961,1
1078.50439,7897.573,1
1078.91589,7705.75732,1
1079.45764,7596.72363,1
1079.92944,7809.399,1
1081.17932,7772.93848,1
1081.2616,9153.504,4
1082.19031,9505.864,4
1082.69031,7960.04932,1
1083.69006,7792.51,1
1084.27136,9506.467,4
1084.90979,7992.60449,1
1085.42,7802.45166,1
1085.42236,9553.921,4
1085.46216,7938.33252,1
1085.82129,7976.571,1
1085.97571,9346.01,4
1085.99634,7705.10645,1
1087.19409,7808.958,1
1088.08752,8083.75635,1
1088.44556,8020.787,1
1088.61108,7861.77441,1
1088.97351,9688.318,4
1089.00623,7548.05273,1
1089.42517,9690.383,4
1089.87659,8266.10449,1
1090.3396,7747.05371,1
1091.12219,11208.89,4
1091.1554,7991.668,1
1091.57263,7425.533,1
1091.71423,7905.62158,1
1092.60376,9636.578,4
1093.32,7341.02051,1
1093.34265,9837.252,4
1093.43469,9819.871,4
1093.48145,7678.28027,1
1093.50024,10255.127,4
1093.7196,7605.62061,1
1093.80591,7826.59229,1
1094.91968,9545.672,4
1095.181,7627.489,1
1095.378,9512.053,4
1095.67212,9564.182,4
1096.20911,9384.694,4
1096.40247,9539.829,4
1096.408,8028.48,1
1097.03784,7753.799,1
1097.34729,9165.83,4
1097.48254,7111.155,1
1097.69263,7605.53662,1
1098.36316,9106.194,4
1100.01453,7524.302,1
1100.20166,9153.787,4
1100.50183,7713.09229,1
1100.5675,7967.21533,1
1100.92188,7807.33,1
1101.00439,7794.78271,1
1101.36743,7646.74463,1
1102.14734,8116.629,1
1102.83081,7486.532,1
1102.951,7645.62549,1
1103.40637,8304.87,1
1104.00537,8036.74854,1
1104.23035,9324.286,4
1104.23328,9197.853,4
1104.55042,7698.41748,1
1104.661,7836.816,1
1105.62671,8260.588,1
1105.75671,7736.991,1
1106.001,9226.999,4
1106.08386,9382.016,4
1106.25293,7580.51172,1
1106.94617,8165.967,1
1106.99426,7606.74561,1
1107.05713,7846.735,1
1107.07263,9283.629,4
1107.66418,7756.963,1
1107.84534,7863.7085,1
1108.40417,7774.76465,1
1108.46545,7815.19434,1
1108.67,7850.9043,1
1109.062,7638.283,1
1109.08118,8149.75537,1
1109.14331,9297.022,4
1109.24316,8860.864,4
1109.38574,7881.15332,1
1109.90759,7920.07031,1
1109.93433,7876.547,1
1110.27136,9727.631,4
1110.30835,7689.572,1
1110.75293,7268.35059,1
1110.90662,9440.691,4
1111.02454,8486.61,1
1111.36523,7858.765,1
1111.61,9131.124,4
1111.68372,7917.254,1
1111.88367,9645.806,4
1112.22461,8070.463,1
1112.37793,8246.809,1
1113.09082,9312.232,4
1113.37061,7904.157,1
1114.10339,7882.0166,1
1115.12769,8369.835,1
1115.14233,6664.49561,1
1115.19312,7831.62549,1
1115.38647,7812.26074,1
1115.48438,7904.18652,1
1115.53271,7833.006,1
1115.71338,9347.134,4
1115.75916,8182.94336,1
1115.80725,10091.1133,4
1115.91724,7727.156,1
1116.5752,7726.41162,1
1116.63513,9130.262,4
1117.05176,7564.82666,1
1117.13721,10079.1465,4
1117.13916,9191.44,4
1117.39221,7520.348,1
1117.42322,9748.502,4
1117.6073,7633.0415,1
1117.70288,8063.928,1
1118.07776,7464.067,1
1118.128,7635.66846,1
1118.18091,7527.002,1
1118.24231,9186.963,4
1118.624,7274.403,1
1118.65613,9744.11,4
1118.66687,7834.91357,1
1119.0564,7886.20947,1
1119.05786,9724.584,4
1119.06592,7409.45654,1
1119.17859,8925.24,4
1119.20154,7630.209,1
1119.25842,7581.00928,1
1119.42761,7997.12939,1
1119.51868,7437.25342,1
1119.55347,8124.089,1
1119.61267,8010.132,1
1119.62073,9533.961,4
1119.68933,11499.1494,4
1119.90735,7687.157,1
1120.06042,9512.121,4
1120.113,9600.909,4
1120.28711,9637.978,4
1120.43689,8161.991,1
1120.49243,9557.02051,4
1120.79956,8223.873,1
1120.84143,9224.265,4
1120.94763,7633.59375,1
1121.07922,9782.944,4
1121.15149,7714.75732,1
1121.376,9264.001,4
1121.42493,7612.611,1
1121.45532,9745.693,4
1121.495,7484.215,1
1121.713,9077.393,4
1121.76428,9545.703,4
1121.84058,7890.30762,1
1122.11914,7857.336,1
1122.91626,10093.7949,4
1123.0083,7795.664,1
1123.3634,7670.17139,1
1123.607,7900.707,1
1123.65,9901.702,4
1123.655,9453.109,4
1124.09229,9472.517,4
1124.164,9646.786,4
1124.26172,7923.60059,1
1124.26355,9669.909,4
1124.33081,7637.562,1
1124.484,7583.892,1
1125.0188,7628.388,1
1125.0481,9186.798,4
1125.1012,9607.084,4
1125.1123,7709.749,1
1125.16028,7706.07,1
1125.23267,7699.808,1
1125.24133,7952.58252,1
1125.63831,7876.985,1
1125.69055,7639.289,1
1125.77112,8120.863,1
1125.78027,9347.565,4
1125.84558,7767.137,1
1125.88635,7560.208,1
1125.97925,7714.75244,1
1125.99939,8311.992,1
1126.10168,9473.35,4
1126.14685,8041.136,1
1126.289,7897.269,1
