Ch1 Amplitude,Ch2 Amplitude,Cluster
1121.37622,8104.27539,1
1121.59973,8035.61572,1
1121.78223,9780.609,4
1121.99951,9204.8125,4
1122.08826,8838.33,1
1122.94373,8127.50439,1
1123.16492,9639.531,4
1123.403,9813.76,4
1123.61646,8446.898,1
1123.64893,9784.567,4
1123.77991,10436.9922,4
1123.88818,8357.171,1
1123.93921,9005.078,1
1123.9563,8320.029,1
1124.28906,9588.305,4
1124.44275,11266.1631,4
1124.54907,10529.8936,4
1124.63037,8438.334,1
1124.83118,8307.766,1
1124.8396,8260.78,1
1124.90735,8201.823,1
1125.04175,8082.48535,1
1125.131,8412.491,1
1125.1582,11672.0264,4
1125.19568,8363.594,1
1125.27087,8635.599,1
1125.32324,8196.912,1
1125.34375,9990.339,4
1125.35437,8232.791,1
1125.62292,10161.5977,4
1125.811,8067.90967,1
1126.02661,9673.776,4
1126.27063,8229.047,1
1126.386,8132.22363,1
1126.43848,9857.322,4
1126.57483,9883.584,4
1126.6676,9919.006,4
1127.2832,10271.6748,4
1127.3894,10707.71,4
1127.50708,10773.7129,4
1127.76355,8335.329,1
1127.90991,9807.461,4
1128.04163,8762.783,1
1128.087,8362.151,1
1128.127,8232.538,1
1128.16345,9783.336,4
1128.24573,9923.337,4
1128.3468,9752.47,4
1128.65588,8244.18,1
1128.69543,8338.566,1
1128.72974,8612.131,1
1128.73718,8360.055,1
1128.88525,9730.581,4
1128.92065,9957.352,4
1129.04138,8201.186,1
1129.052,8277.033,1
1129.05383,8806.429,1
1129.1698,8400.634,1
1129.55078,10143.4482,4
1129.56506,8314.355,1
1129.71741,9605.049,4
1129.78516,8454.803,1
1130.17554,8277.427,1
1130.19421,12430.5,4
1130.22437,9666.967,4
1130.24756,8319.837,1
1130.25244,9719.088,4
1130.30176,7982.288,1
1130.33679,9685.531,4
1130.51843,8096.32373,1
1130.67139,9350.328,4
1130.87231,8474.42,1
1130.8728,9555.13,4
1131.00781,10146.3809,4
1131.03479,8127.50049,1
1131.08508,8408.337,1
1131.13489,8148.41748,1
1131.14453,8363.148,1
1131.3833,9408.82,4
1131.46912,8230.333,1
1131.482,9743.311,4
1131.55627,8070.20166,1
1131.90845,8548.304,1
1131.92688,8306.742,1
1131.97839,8214.088,1
1132.189,10426.708,4
1132.59766,9603.545,4
1132.681,8388.4375,1
1132.70349,8214.227,1
1132.74646,8225.85449,1
1132.78979,8666.852,1
1132.82483,8359.001,1
1132.855,8355.817,1
1132.9917,8269.223,1
1133.10608,8363.491,1
1133.1687,8028.281,1
1133.32861,12982.8154,4
1133.38318,10213.5342,4
1133.40894,8328.521,1
1133.63831,9717.519,4
1133.63989,8339.813,1
1133.80225,9451.341,4
1133.88525,9993.745,4
1134.07935,10840.0791,4
1134.22058,9550.797,4
1134.37756,8261.695,1
1134.43359,8360.517,1
1134.4585,8472.333,1
1134.68286,8102.174,1
1135.19214,8590.916,1
1135.40271,8132.63965,1
1135.4762,8036.176,1
1135.478,9939.074,4
1135.478,9424.3,4
1135.50745,9886.53,4
1135.55933,10592.623,4
1135.58423,10037.6377,4
1135.80457,8117.111,1
1135.99072,9555.714,4
1136.14111,8993.108,1
1136.2168,9573.851,4
1136.2832,8077.50928,1
