Ch1 Amplitude,Ch2 Amplitude,Cluster
1042.496,7826.32373,1
1069.84607,9934.151,4
1094.11353,7697.74268,1
1111.51721,7605.38965,1
1111.98584,7742.99463,1
1112.7395,9435.131,4
1114.65564,7539.262,1
1122.9187,9756.893,4
1124.51526,7500.122,1
1125.68848,7547.967,1
1128.434,7710.75928,1
1132.7605,7580.536,1
1133.302,7800.44727,1
1133.73987,8310.689,1
1134.29126,8064.67627,1
1134.37891,9460.02,4
1136.11218,7675.44,1
1136.35864,9598.779,4
1143.33557,9709.706,4
1143.5481,7893.913,1
1146.55676,7624.1626,1
1146.776,7763.94238,1
1147.03162,7555.65625,1
1147.93347,7534.162,1
1149.28674,9540.856,4
1150.47754,7726.335,1
1154.26709,7367.31934,1
1156.94861,9475.526,4
1157.72119,8093.31738,1
1157.87976,7536.453,1
1159.45154,7564.55762,1
1159.7688,7631.14941,1
1160.00818,8148.95166,1
1161.67627,7551.46143,1
1161.79932,7634.034,1
1161.861,7710.87646,1
1162.26941,9916.732,4
1162.83289,9856.216,4
1167.42468,9707.468,4
1167.42542,9480.066,4
1167.53027,7660.05029,1
1168.14624,7661.971,1
1169.12024,9648.944,4
1169.27527,7723.94336,1
1170.56848,7581.713,1
1171.35522,7891.096,1
1171.823,7470.88574,1
1177.44385,9355.111,4
1179.07642,7648.136,1
1179.30493,9409.171,4
1179.463,9490.512,4
1179.70715,7640.173,1
1179.92822,7714.37744,1
1180.13452,9325.784,4
1180.4563,7566.80566,1
1180.53809,7722.135,1
1180.63855,7575.0293,1
1181.9856,9452.713,4
1181.99243,7808.05127,1
1182.19983,8965.748,4
1182.4043,8543.973,1
1182.64075,7631.598,1
1182.717,9411.61,4
1182.75549,7851.32373,1
1183.27026,7585.331,1
1184.34766,7591.344,1
1185.08,9791.438,4
1185.87793,9288.544,4
1186.25415,8044.90869,1
1187.59644,9397.777,4
1188.09619,8082.77539,1
1188.39551,7694.33252,1
1188.478,7667.26,1
1188.51184,9660.045,4
1190.27722,11734.9473,4
