Ch1 Amplitude,Ch2 Amplitude,Cluster
1206.97559,7895.074,1
1207.13269,7439.65771,1
1207.221,7732.63574,1
1207.38257,7657.62158,1
1207.76941,7730.47461,1
1207.90894,9353.449,4
1207.913,9778.955,4
1207.95789,9478.109,4
1208.00037,9301,4
1208.12756,7841.09375,1
1208.36584,7508.612,1
1208.5614,7560.649,1
1208.58936,7540.1333,1
1208.69446,10034.6152,4
1208.87781,7467.023,1
1209.0293,10112.4727,4
1209.09338,7278.71875,1
1209.18884,7697.269,1
1209.4248,7467.0293,1
1209.81848,7315.303,1
1210.32813,9978.138,4
1210.52844,7583.44141,1
1210.56152,7463.043,1
1210.58923,7641.035,1
1210.64673,9518.071,4
1210.70776,8799.43,4
1210.94958,7566.06055,1
1210.96863,7537.35547,1
1211.043,9614.354,4
1211.05774,9408.44,4
1211.10754,7845.56152,1
1211.801,9297.933,4
1211.953,7676.09668,1
1212.05334,7373.22266,1
1212.0957,9765.07,4
1212.1731,7603.532,1
1212.20483,7565.555,1
1212.33435,7540.621,1
1212.55261,7978.02344,1
1212.587,7673.24561,1
1212.69873,9598.998,4
1212.89063,7863.156,1
1212.95947,7170.98926,1
1213.31079,9681.429,4
1213.4502,7705.14844,1
1213.74451,7462.875,1
1213.838,7476.49756,1
1214.03357,7651.0083,1
1214.05237,7519.324,1
1214.29944,7356.26172,1
1214.35034,7548.677,1
1214.50708,7857.14844,1
1214.70239,7591.202,1
1214.73743,7820.9917,1
1214.92224,7676.93555,1
1215.12085,7774.87646,1
1215.14819,7655.708,1
1215.24854,7511.412,1
1215.26025,7604.43945,1
1215.41992,7575.525,1
1215.46582,9309.26,4
1215.50085,9683.954,4
1215.7323,9558.619,4
1216.0304,7658.50537,1
1216.1239,7747.47461,1
1216.27246,7648.369,1
1216.58618,7885.2417,1
1216.61548,7645.091,1
1216.6571,7564.24561,1
1216.77625,7887.43652,1
1216.77686,7511.703,1
1216.88538,7576.30469,1
1216.95764,7835.09326,1
1217.10291,7946.48,1
1217.19092,8850.475,4
1217.2373,7579.728,1
1217.597,8220.064,1
1217.6366,7602.09473,1
1217.656,7634.55664,1
1218.20325,7417.44531,1
1218.27368,7354.6377,1
1218.36536,7545.91846,1
1218.57007,10265.5469,4
1218.58984,7519.65137,1
1218.65442,7511.53,1
1218.95337,7533.66846,1
1219.19971,7469.2876,1
1219.83337,7503.187,1
1219.93018,7425.169,1
1220.09741,7949.249,1
1220.20227,7882.15234,1
1220.41626,7365.48438,1
1220.56653,8889.669,4
1220.61389,7553.796,1
1220.70386,7561.90332,1
1220.78357,9613.526,4
1220.90869,7419.89,1
1220.97351,7482.48828,1
1221.03442,7526.59,1
1221.11194,9526.856,4
1221.23816,7588.667,1
1221.24939,7640.004,1
1221.25317,7720.644,1
1221.265,7668.512,1
1221.46973,9308.979,4
1221.50684,7756.11426,1
1221.59021,7374.53564,1
1221.591,7973.653,1
1221.67883,9629.718,4
1221.77209,9656.756,4
1221.90833,7583.74,1
1222.05188,7450.519,1
1222.06128,9497.392,4
1222.17761,7736.2915,1
1222.18713,9475.391,4
1222.32642,7575.386,1
1222.46643,7790.38,1
1222.70032,10298.2822,4
1222.772,7532.977,1
1222.90869,7641.43945,1
1222.97021,7386.44629,1
1223.07983,7520.74,1
1223.09192,9436.227,4
1223.13245,7528.803,1
1223.25635,7535.574,1
1223.27856,7486.90332,1
1223.3158,7867.73,1
1223.35352,7808.768,1
1223.54541,7599.079,1
1223.62817,7624.28467,1
1223.79651,7358.45166,1
1224.09436,7532.40039,1
1224.13257,7545.988,1
1224.24365,7619.98047,1
1224.2804,7867.945,1
1224.3092,7666.65527,1
1224.31812,7529.56152,1
1224.373,7540.415,1
1224.49988,9504.126,4
1224.7052,7503.526,1
1224.831,7545.88232,1
1224.839,7752.712,1
1224.95947,7497.89941,1
1225.429,13548.74,4
1225.56128,7766.20361,1
1225.60168,7367.524,1
1225.694,7928.705,1
1225.82068,9348.248,4
1225.832,7308.25,1
1225.91089,7841.603,1
1225.99,9467.22,4
1226.3125,7542.92,1
1226.58984,7735.947,1
1226.87878,7789.828,1
1226.96777,7638.855,1
1227.13208,7522.59131,1
1227.15247,7657.553,1
1227.85815,9345.7,4
1227.915,7687.75928,1
1227.98279,7212.67432,1
1228.12366,7464.804,1
1228.32764,7497.63672,1
1228.43274,8859.391,4
1228.452,7664.623,1
1228.49817,7571.5376,1
1228.5304,7340.08643,1
1228.62781,9727.634,4
1228.77307,7525.32959,1
1228.82458,7545.17236,1
1228.84363,9613.202,4
1228.85071,9138.832,4
1228.87012,7681.686,1
1228.94385,7549.92969,1
1229.05029,7536.61475,1
1229.10059,9513.493,4
1229.12476,7402.519,1
1229.24768,9312.117,4
1229.44336,9536.706,4
1229.6925,7529.98633,1
1229.73657,7456.835,1
1229.75452,7609.84473,1
1229.99316,7426.898,1
1230.17139,9494.373,4
1230.19507,7331.568,1
1230.26941,7992.766,1
1230.42029,7548.307,1
1230.67224,7807.67334,1
1230.98621,7725.162,1
1231.02808,7964.80127,1
1231.17749,7711.82227,1
1231.25793,7408.32471,1
1231.30078,9275.304,4
1231.3418,7395.947,1
1231.37878,7375.515,1
1231.48938,8598.16,4
1231.5929,9657.014,4
1231.64514,7538.5835,1
1231.68335,7615.902,1
1231.684,7744.003,1
1231.80176,7844.59668,1
1231.81165,7424.11426,1
1231.94934,7293.762,1
1232.03027,7548.20459,1
1232.27942,9269.924,4
1232.32129,7631.75439,1
1232.3479,7330.754,1
1232.39807,7829.80762,1
1232.40527,7500.88867,1
1232.44165,7895.63574,1
1232.56848,7488.454,1
1232.848,7411.74561,1
1232.93652,9813.72,4
1233.16846,7501.59326,1
1233.17566,7742.588,1
1233.21655,8280.426,1
1233.25293,9302.27,4
1233.27258,7582.86865,1
1233.51477,7487.746,1
1233.5415,7560.207,1
1233.61511,7684.747,1
1233.85,9615.751,4
1233.87585,7663.637,1
1233.91443,7411.508,1
1233.93713,7501.28271,1
1233.95776,7732.917,1
1234.00574,7784.902,1
1234.03455,9046.91,4
1234.147,7805.001,1
1234.19116,7779.027,1
1234.26575,8232.797,1
1234.2832,7549.37744,1
1234.29907,9522.279,4
1234.31323,7839.974,1
1234.32007,7584.931,1
1234.46265,8977.291,4
1234.52124,7370.26,1
1234.5575,7361.63525,1
1234.56958,10069.5029,4
1234.57983,9460.6875,4
1234.651,7620.08057,1
1234.72278,7346.771,1
1234.9104,7551.263,1
1234.91968,7664.956,1
1234.93274,9363.065,4
1235.00476,7450.927,1
1235.10925,7724.34375,1
1235.13354,7372.257,1
1235.27722,7362.58154,1
1235.54993,7526.0293,1
1235.587,7541.40234,1
1235.70447,7607.74463,1
1235.959,7681.02539,1
1235.96838,9449.292,4
1236.14075,7393.2915,1
1236.20593,7647.42529,1
1236.29651,7262.502,1
1236.31311,7776.604,1
1236.31433,7758.896,1
1236.37622,7542.10059,1
1236.44128,7841.056,1
1236.5083,7740.74658,1
1236.558,9333.39,4
1236.8241,7385.15137,1
1236.95361,7502.291,1
1236.98413,7873.354,1
1237.1875,7420.53369,1
1237.22583,7626.24951,1
1237.2771,7611.45361,1
1237.60754,7752.90869,1
1237.662,7739.472,1
1237.732,7495.0293,1
1237.81287,7589.14551,1
1237.86292,7652.52051,1
1237.91748,7934.57861,1
1237.96155,8413.579,4
1238.03918,7572.949,1
1238.04065,7136.04053,1
1238.08093,7424.92725,1
1238.13708,9446.173,4
1238.27209,9847.058,4
1238.296,9642.976,4
1238.36108,7639.27832,1
1238.47058,9318.152,4
1238.53455,7767.443,1
1238.60413,9605.252,4
1238.61,7721.721,1
1238.61133,7573.171,1
1238.62085,7681.998,1
1238.638,7460.371,1
1238.82129,10668.0068,4
1238.85339,7713.551,1
1238.971,7667.248,1
1239.04272,7486.053,1
1239.05725,9955.218,4
1239.08435,7536.172,1
1239.16748,7567.33154,1
1239.23633,7771.204,1
1239.24683,9749.095,4
1239.29773,8049.67773,1
1239.35559,7669.696,1
1239.3645,7659.59229,1
1239.46509,8874.684,4
1239.75439,10027.416,4
1239.7865,7686.93848,1
1239.95886,7611.41455,1
1240.18494,7579.20361,1
1240.35132,7799.15869,1
1240.37,11850.7148,4
1240.46143,9525.418,4
1240.577,9171.603,4
1240.61572,7605.3623,1
1240.73389,7564.183,1
1240.73938,7600.82764,1
1240.79529,7620.44629,1
1240.90662,7707.82129,1
1240.94312,7909.66455,1
1240.97217,9527.574,4
1241.06873,9593.584,4
1241.0929,7351.47,1
1241.14917,7770.521,1
1241.46472,9395.503,4
1241.50293,7333.572,1
1241.56409,7562.343,1
1241.58459,7495.316,1
1241.606,9687.402,4
1241.63489,7506.292,1
1241.73071,8136.67432,1
1241.79675,7666.319,1
1241.92419,9606.257,4
1241.9425,9925.711,4
1241.94739,7436.17041,1
1242.08582,7436.776,1
1242.19849,7571.419,1
1242.22437,7415.78857,1
1242.49841,7660.322,1
1242.63684,7808.713,1
1242.65894,7540.01074,1
1242.76587,7682.468,1
1242.8114,7463.2085,1
1242.9353,7835.631,1
1243.097,10107.9951,4
1243.09888,7638.9585,1
1243.1676,7707.837,1
1243.205,7655.7085,1
1243.27087,9543.484,4
1243.37622,7424.05273,1
1243.39,11628.7227,4
1243.48047,7391.28,1
1243.75928,9478.407,4
1243.96643,9607.723,4
1244.14172,9993.687,4
1244.16577,7544.92041,1
1244.23169,7581.877,1
1244.23926,7277.90332,1
1244.24438,7442.45459,1
1244.31116,7623.33838,1
1244.36267,7420.389,1
1244.56873,7470.636,1
1244.609,7667.78027,1
1244.78979,7500.90625,1
1244.893,9525.462,4
1245.04126,7571.55957,1
1245.08118,7754.64941,1
1245.13928,7796.769,1
1245.28345,8319.632,1
1245.332,7875.50635,1
1245.39478,7500.74951,1
1245.46216,9453.234,4
1245.48462,7571.508,1
1245.54,7821.788,1
1245.63672,7587.9585,1
1245.71252,7595.015,1
1245.72363,7762.21143,1
1245.75208,7553.409,1
